driverid,lap,Position,Time
raikkonen,1,5,1:39.950
max_verstappen,1,6,1:40.837
sainz,1,7,1:41.484
massa,1,8,1:41.963
grosjean,1,9,1:42.440
ricciardo,1,10,1:43.028
maldonado,1,11,1:43.399
alonso,1,12,1:44.024
kvyat,1,13,1:44.331
nasr,1,14,1:44.865
ericsson,1,15,1:45.239
perez,1,16,1:45.766
button,1,17,1:46.194
hulkenberg,1,18,1:46.537
merhi,1,19,1:47.600
stevens,1,20,1:48.007
ricciardo,1,1,1:53.669
max_verstappen,1,2,1:54.582
sainz,1,3,1:55.665
vettel,1,4,1:56.984
raikkonen,1,5,1:58.161
bottas,1,6,1:58.967
perez,1,7,2:00.031
button,1,8,2:02.543
alonso,1,9,2:03.037
grosjean,1,10,2:03.549
kvyat,1,11,2:04.694
hulkenberg,1,12,2:05.281
kevin_magnussen,1,13,2:06.702
gutierrez,1,14,2:07.235
jolyon_palmer,1,15,2:08.355
nasr,1,16,2:09.287
ericsson,1,17,2:10.300
wehrlein,1,18,2:11.424
massa,1,19,2:12.372
haryanto,1,20,2:13.108
vettel,1,1,1:29.278
hamilton,1,2,1:31.485
bottas,1,3,1:32.847
ricciardo,1,4,1:33.623
perez,1,5,1:35.407
ocon,1,6,1:36.329
hulkenberg,1,7,1:37.124
kevin_magnussen,1,8,1:38.119
sainz,1,9,1:39.025
grosjean,1,10,1:39.816
alonso,1,11,1:40.264
wehrlein,1,12,1:40.702
stroll,1,13,1:41.304
jolyon_palmer,1,14,1:44.121
ericsson,1,15,1:44.351
vandoorne,1,16,1:45.048
kvyat,1,17,1:45.309
massa,1,18,1:55.686
max_verstappen,1,19,2:40.999
hamilton,1,1,1:48.152
vettel,1,2,1:49.029
bottas,1,3,1:51.072
raikkonen,1,4,1:52.295
max_verstappen,1,5,1:53.164
ricciardo,1,6,1:54.044
kevin_magnussen,1,7,1:56.040
sainz,1,8,1:57.373
leclerc,1,9,1:58.679
ocon,1,10,2:00.261
alonso,1,11,2:02.514
stroll,1,12,2:03.922
perez,1,13,2:05.103
vandoorne,1,14,2:06.642
brendon_hartley,1,15,2:11.078
ericsson,1,16,2:11.849
sirotkin,1,17,2:15.710
hamilton,1,1,1:26.434
bottas,1,2,1:28.519
max_verstappen,1,3,1:29.414
vettel,1,4,1:30.453
leclerc,1,5,1:31.214
gasly,1,6,1:31.885
grosjean,1,7,1:32.573
kevin_magnussen,1,8,1:33.075
kvyat,1,9,1:33.892
